subjID,trial,targetWord,correct
id0001,1,eye,1
id0001,2,carrot,1
id0001,3,ant,1
id0001,4,elk,1
id0001,5,choir,1
id0001,6,ventilator,1
id0001,7,arugula,0
id0001,8,giraffe,1
id0001,9,palmtree,1
id0001,10,pineapple,1
id0001,11,ocean,1
id0001,12,gazelle,1
id0001,13,chanterelle,1
id0001,14,ruin,1
id0001,15,labyrinth,1
id0001,16,orchid,1
id0001,17,zucchini,1
id0001,18,kayak,1
id0001,19,lobster,1
id0001,20,carnation,0
id0001,21,flounder,1
id0001,22,cello,0
id0002,1,eye,1
id0002,2,carrot,1
id0002,3,ant,1
id0002,4,elk,1
id0002,5,choir,1
id0002,6,ventilator,1
id0002,7,arugula,0
id0002,8,giraffe,1
id0002,9,palmtree,1
id0002,10,pineapple,1
id0002,11,ocean,0
id0002,12,gazelle,0
id0002,13,chanterelle,0
id0002,14,ruin,0
id0002,15,labyrinth,0
id0002,16,orchid,0
id0002,17,zucchini,1
id0002,18,kayak,0
id0002,19,lobster,0
id0002,20,carnation,1
id0002,21,flounder,0
id0002,22,cello,0
id0004,1,eye,1
id0004,2,carrot,1
id0004,3,ant,1
id0004,4,elk,1
id0004,5,choir,1
id0004,6,ventilator,1
id0004,7,arugula,1
id0004,8,giraffe,1
id0004,9,palmtree,1
id0004,10,pineapple,1
id0004,11,ocean,1
id0004,12,gazelle,1
id0004,13,chanterelle,1
id0004,14,ruin,1
id0004,15,labyrinth,1
id0004,16,orchid,1
id0004,17,zucchini,1
id0004,18,kayak,1
id0004,19,lobster,1
id0004,20,carnation,0
id0004,21,flounder,1
id0004,22,cello,1
id0006,1,eye,1
id0006,2,carrot,1
id0006,3,ant,1
id0006,4,elk,1
id0006,5,choir,0
id0006,6,ventilator,1
id0006,7,arugula,1
id0006,8,giraffe,1
id0006,9,palmtree,1
id0006,10,pineapple,1
id0006,11,ocean,1
id0006,12,gazelle,1
id0006,13,chanterelle,1
id0006,14,ruin,1
id0006,15,labyrinth,1
id0006,16,orchid,1
id0006,17,zucchini,1
id0006,18,kayak,1
id0006,19,lobster,1
id0006,20,carnation,1
id0006,21,flounder,1
id0006,22,cello,1
id0009,1,eye,1
id0009,2,carrot,1
id0009,3,ant,1
id0009,4,elk,1
id0009,5,choir,1
id0009,6,ventilator,1
id0009,7,arugula,0
id0009,8,giraffe,1
id0009,9,palmtree,1
id0009,10,pineapple,1
id0009,11,ocean,1
id0009,12,gazelle,1
id0009,13,chanterelle,1
id0009,14,ruin,1
id0009,15,labyrinth,1
id0009,16,orchid,1
id0009,17,zucchini,1
id0009,18,kayak,1
id0009,19,lobster,1
id0009,20,carnation,0
id0009,21,flounder,1
id0009,22,cello,0
id0011,1,eye,1
id0011,2,carrot,1
id0011,3,ant,1
id0011,4,elk,1
id0011,5,choir,0
id0011,6,ventilator,1
id0011,7,arugula,1
id0011,8,giraffe,1
id0011,9,palmtree,0
id0011,10,pineapple,1
id0011,11,ocean,0
id0011,12,gazelle,0
id0011,13,chanterelle,1
id0011,14,ruin,1
id0011,15,labyrinth,0
id0011,16,orchid,0
id0011,17,zucchini,1
id0011,18,kayak,0
id0011,19,lobster,0
id0011,20,carnation,1
id0011,21,flounder,0
id0011,22,cello,1
id0012,1,eye,1
id0012,2,carrot,1
id0012,3,ant,1
id0012,4,elk,1
id0012,5,choir,1
id0012,6,ventilator,1
id0012,7,arugula,1
id0012,8,giraffe,1
id0012,9,palmtree,1
id0012,10,pineapple,1
id0012,11,ocean,1
id0012,12,gazelle,0
id0012,13,chanterelle,1
id0012,14,ruin,1
id0012,15,labyrinth,1
id0012,16,orchid,1
id0012,17,zucchini,1
id0012,18,kayak,1
id0012,19,lobster,1
id0012,20,carnation,1
id0012,21,flounder,1
id0012,22,cello,0
id0013,1,eye,1
id0013,2,carrot,1
id0013,3,ant,1
id0013,4,elk,1
id0013,5,choir,1
id0013,6,ventilator,1
id0013,7,arugula,1
id0013,8,giraffe,1
id0013,9,palmtree,1
id0013,10,pineapple,1
id0013,11,ocean,1
id0013,12,gazelle,1
id0013,13,chanterelle,1
id0013,14,ruin,1
id0013,15,labyrinth,1
id0013,16,orchid,1
id0013,17,zucchini,1
id0013,18,kayak,1
id0013,19,lobster,1
id0013,20,carnation,0
id0013,21,flounder,1
id0013,22,cello,1
id0014,1,eye,1
id0014,2,carrot,1
id0014,3,ant,1
id0014,4,elk,1
id0014,5,choir,0
id0014,6,ventilator,1
id0014,7,arugula,0
id0014,8,giraffe,1
id0014,9,palmtree,1
id0014,10,pineapple,1
id0014,11,ocean,1
id0014,12,gazelle,0
id0014,13,chanterelle,1
id0014,14,ruin,1
id0014,15,labyrinth,1
id0014,16,orchid,0
id0014,17,zucchini,1
id0014,18,kayak,0
id0014,19,lobster,0
id0014,20,carnation,0
id0014,21,flounder,0
id0014,22,cello,0
id0015,1,eye,1
id0015,2,carrot,1
id0015,3,ant,1
id0015,4,elk,1
id0015,5,choir,1
id0015,6,ventilator,1
id0015,7,arugula,0
id0015,8,giraffe,1
id0015,9,palmtree,1
id0015,10,pineapple,1
id0015,11,ocean,1
id0015,12,gazelle,1
id0015,13,chanterelle,1
id0015,14,ruin,1
id0015,15,labyrinth,1
id0015,16,orchid,1
id0015,17,zucchini,1
id0015,18,kayak,1
id0015,19,lobster,1
id0015,20,carnation,1
id0015,21,flounder,1
id0015,22,cello,1
id0018,1,eye,1
id0018,2,carrot,1
id0018,3,ant,1
id0018,4,elk,1
id0018,5,choir,1
id0018,6,ventilator,1
id0018,7,arugula,1
id0018,8,giraffe,1
id0018,9,palmtree,0
id0018,10,pineapple,1
id0018,11,ocean,1
id0018,12,gazelle,0
