word,Difficulty,EstErrorIntercept,Q25Intercept,Q975Intercept
Alternative,2.1851,0.2227,-2.6153,-1.7385000000000002
Anzahl,0.2897,0.2209,-0.7178,0.1456
Ausnahme,-1.2650000000000001,0.22460000000000002,0.8292,1.7073
Bedingung,1.2132,0.221,-1.6409,-0.7836000000000001
Betrieb,1.486,0.2212,-1.9158,-1.0513
Chef,-2.3189,0.2335,1.8701,2.7763
Drama,1.2723,0.22030000000000002,-1.7026,-0.8445
Elch,-2.2412,0.23240000000000002,1.7922,2.7007
Filmstar,2.0923,0.223,-2.5242,-1.6533
Firma,0.6305000000000001,0.2195,-1.0572,-0.20170000000000002
Formel,2.6673,0.226,-3.1084,-2.2267
Frisur,-3.1261,0.24710000000000001,2.6488,3.6193
Glastür,-1.121,0.22460000000000002,0.6899000000000001,1.5688
Job,0.47400000000000003,0.22060000000000002,-0.9028,-0.036500000000000005
Kapitän,-2.7397,0.23870000000000002,2.2709,3.2108
Komma,1.1468,0.22080000000000002,-1.5724,-0.7143
Kontrolle,-0.9618000000000001,0.22410000000000002,0.5278,1.4055
Kummer,1.1303,0.2212,-1.5596999999999999,-0.6967
Kunde,0.27540000000000003,0.2195,-0.7016,0.1627
Magnet,-2.9608,0.24350000000000002,2.4921,3.4468
Markt,-2.7397,0.2394,2.277,3.215
Million,-1.2513,0.2243,0.8167000000000001,1.6941000000000002
Mode,0.7518,0.2204,-1.1767,-0.321
Nahrung,-0.5432,0.22110000000000002,0.11230000000000001,0.9796
Ozean,-1.0476,0.2228,0.6087,1.4857
Panik,1.0683,0.22060000000000002,-1.4969000000000001,-0.6347
Paris,-0.3108,0.2214,-0.1163,0.7454000000000001
Portion,-1.7985,0.22820000000000001,1.3558,2.2477
Produkt,2.0916,0.22340000000000002,-2.5212,-1.6511
Programm,-0.7068,0.2218,0.2735,1.135
Scherz,-1.375,0.22560000000000002,0.9357000000000001,1.8181
Spende,0.5698,0.2202,-0.9985,-0.1338
System,2.2966,0.22360000000000002,-2.7306,-1.8544
Tafel,-3.1459,0.247,2.6716,3.6349
Temperatur,-2.0568,0.2301,1.6077,2.509
Tonne,-3.3502,0.2534,2.864,3.8537
Tourist,1.5728,0.2205,-2.0065,-1.1434
Verkehr,-2.0469,0.23070000000000002,1.5929,2.4996
Versager,2.9428,0.22790000000000002,-3.3866,-2.4986
Virus,-1.3231,0.22560000000000002,0.8914000000000001,1.7678
Vitamin,-1.7132,0.2278,1.2714,2.1645
Vorwand,3.508,0.23320000000000002,-3.9574,-3.0525
Zange,-3.3502,0.25120000000000003,2.8652,3.8497
allergisch,-0.6007,0.22130000000000002,0.1693,1.0353
anbieten,-0.22410000000000002,0.22160000000000002,-0.2079,0.6574
auspressen,-1.252,0.225,0.8185,1.6941000000000002
besorgt,0.4586,0.221,-0.8854000000000001,-0.0238
einsam,-0.5313,0.22160000000000002,0.10450000000000001,0.9659000000000001
exakt,1.6675,0.22160000000000002,-2.0961,-1.232
feige,0.20800000000000002,0.22010000000000002,-0.6273000000000001,0.22210000000000002
fit,-1.8087,0.228,1.3678,2.2506
freiwillig,-1.3896,0.2243,0.9582,1.8305
fremd,-2.2851,0.2333,1.8307,2.7454
geheimnisvoll,0.4385,0.2217,-0.8711000000000001,-0.0035
gelingen,-0.0748,0.22030000000000002,-0.3527,0.5075000000000001
heiraten,-2.9614000000000003,0.2427,2.4902,3.4396
herstellen,-1.288,0.22510000000000002,0.8499,1.7305000000000001
hygienisch,1.9457,0.2222,-2.3743,-1.5093
höchstpersönlich,3.7609,0.23570000000000002,-4.2237,-3.2973
kündigen,1.3988,0.2214,-1.8301,-0.9646
mager,2.1927,0.22310000000000002,-2.6241,-1.7565
minimal,2.2893,0.224,-2.7217000000000002,-1.8497
mutlos,2.2309,0.22460000000000002,-2.6697,-1.7939
nachweisen,2.4313000000000002,0.2243,-2.8693,-1.9851
nutzen,-0.8926000000000001,0.22240000000000001,0.45990000000000003,1.3265
optimal,1.8916,0.22160000000000002,-2.3223000000000003,-1.4593
redselig,4.4585,0.24730000000000002,-4.9431,-3.9697
rosten,-0.2076,0.2197,-0.222,0.6383
rudern,-0.8728,0.2235,0.43670000000000003,1.3097
saftig,-2.2102,0.2333,1.7569,2.6711
speziell,0.3662,0.2215,-0.7972,0.0709
spontan,0.8485,0.2209,-1.2732999999999999,-0.4131
sprachlos,0.9405,0.2202,-1.3652,-0.5112
spurlos,0.8796,0.22,-1.309,-0.4525
stehlen,-1.0274,0.224,0.594,1.4688
studieren,0.4329,0.22,-0.8603000000000001,0.0005
stürzen,-1.9994,0.2296,1.5601,2.4516
testen,-2.5433,0.2369,2.0827,3.013
tippen,-2.5175,0.2353,2.0586,2.9794
treu,1.1573,0.22080000000000002,-1.5878,-0.727
unfair,-2.5308,0.2366,2.0687,3.0022
verlegen,1.2931,0.22080000000000002,-1.7222,-0.8641000000000001
verweigern,1.995,0.22210000000000002,-2.426,-1.5581
verwesen,3.3121,0.2316,-3.7662,-2.8558
vorstellen,-1.442,0.2257,1.0061,1.8822
weiblich,0.0207,0.22030000000000002,-0.4495,0.4131
widmen,4.0979,0.2419,-4.574,-3.6216
wirken,0.7618,0.2197,-1.1865,-0.3312
zahm,0.1462,0.2204,-0.5746,0.2882
